Vendor ID,Vendor Name,Service Type,Risk Classification,Contract Start Date,Contract End Date,Contract Value (INR Lakhs),NDA Status,NDA Sign Date,SLA Status,SLA Sign Date,NDA Document Reference,SLA Document Reference,Last Audit Date,Audit Findings Status,Risk Score (1-10),Relationship Manager,Remarks
V-012,L&T Infotech,Application Development & Maintenance,High,01-Jul-2024,30-Jun-2027,1600,NDA Signed,15-Jun-2024,SLA Signed,01-Jul-2024,NDA-2024-012,SLA-2024-012,20-Sep-2025,Open - 1 medium finding pending,4,Ananya Kumar,CRM application maintenance. 1 pending remediation (access review delay).
V-013,PayU India,Payment Gateway Services,Critical,01-Aug-2024,31-Jul-2027,900,NDA Signed,25-Jul-2024,SLA Signed,01-Aug-2024,NDA-2024-013,SLA-2024-013,15-Feb-2026,Closed - Satisfactory,4,Sonia Agarwal,Payment gateway integration. PCI DSS compliant confirmed.
V-014,Amazon Web Services,Cloud Services (AWS),Critical,01-Sep-2024,31-Aug-2027,3500,NOT SIGNED,N/A,N/A,N/A,N/A,N/A,N/A,7,Maya Patel,NON-COMPLIANT: No NDA on record. Observation 3.9.1. Legal notice issued. 30-day deadline given.
V-015,Genpact India,BPO - Customer Support,High,01-Oct-2024,30-Sep-2027,3200,NDA Signed,25-Sep-2024,SLA Signed,01-Oct-2024,NDA-2024-015,SLA-2024-015,10-Jun-2026,In Progress,4,Ashok Mehta,Customer call center operations. Current audit in progress.
V-016,Zscaler India,Security - ZIA/ZPA,High,01-Nov-2024,31-Oct-2027,680,NDA Signed,25-Oct-2024,SLA Signed,01-Nov-2024,NDA-2024-016,SLA-2024-016,N/A (Cloud Security),N/A,3,Priyanka Das,Cloud security stack. Implementation phase 2 in progress.
V-017,SAP India,ERP Support & Maintenance,Medium,01-Dec-2024,30-Nov-2027,2800,NDA Signed,20-Nov-2024,SLA Signed,01-Dec-2024,NDA-2024-017,SLA-2024-017,N/A (Support),N/A,3,Rahul Verma,SAP HANA support. Contract in renewal negotiation.
V-018,Verizon India,Network Security Services,High,01-Jan-2025,31-Dec-2026,1100,NOT SIGNED,N/A,N/A,N/A,N/A,N/A,N/A,6,Priya Mehta,NON-COMPLIANT: No NDA or SLA on record. Observation 3.9.1. Termination notice drafted.
V-019,Dell Technologies,Hardware Supply & Support,Medium,01-Feb-2025,31-Jan-2027,1600,NDA Signed,20-Jan-2025,N/A,SLA not yet signed,NDA-2025-019,N/A,N/A,N/A,3,Neha Jain,Hardware maintenance. ProSupport active. SLA document review pending.
V-020,ServiceNow India,ITSM Platform Provider,Medium,01-Mar-2025,28-Feb-2028,1400,NDA Signed,15-Feb-2025,SLA Signed,01-Mar-2025,NDA-2025-020,SLA-2025-020,N/A (SaaS),N/A,2,Simran Kaur,SaaS platform for ITSM. No data exposure concerns.
V-021,Acronis India,Backup & Disaster Recovery,High,01-Apr-2025,31-Mar-2028,750,NDA Signed,25-Mar-2025,SLA Signed,01-Apr-2025,NDA-2025-021,SLA-2025-021,01-Jun-2026,Open - 1 finding found,4,Rahul Varma,Backup software. Audit finding: encryption key management needs improvement.
V-022,Slack Technologies,Communication Platform,Low,01-May-2025,30-Apr-2027,120,NDA Signed,25-Apr-2025,SLA Signed,01-May-2025,NDA-2025-022,SLA-2025-022,N/A (SaaS),N/A,1,Vikram Joshi,Internal communication tool. Low risk. Data classification limited.
V-023,Atos India,Data Center Facilities Management,High,01-Jun-2025,31-May-2028,2200,NDA Signed,20-May-2025,SLA Signed,01-Jun-2025,NDA-2025-023,SLA-2025-023,10-Apr-2026,Closed - Satisfactory,3,Neha Sharma,Facilities management for DC. Physical security controls adequate.
V-024,Thales India,HSM & Encryption Solutions,High,01-Jul-2025,30-Jun-2028,550,NDA Signed,15-Jun-2025,SLA Signed,01-Jul-2025,NDA-2025-024,SLA-2025-024,N/A (Hardware),N/A,2,Sandeep Gupta,Hardware Security Modules. Annual certification review done.
V-025,Red Hat India,Linux OS & Middleware,Medium,01-Aug-2025,31-Jul-2028,480,NDA Signed,25-Jul-2025,SLA Signed,01-Aug-2025,NDA-2025-025,SLA-2025-025,N/A (Subscription),N/A,2,Arjun Nair,RHEL subscription. Ansible licenses included.
